"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216"
"164",68.4373411288309,72.3643002312016,68.116882917246,63.9730022174872,62.5953796188278,64.7534148191799,59.8811911045583,52.6966534684024,60.1289383667157,49.8676924443835,61.3330686664193,62.8160126257355,62.958868812088,62.5113940525025,69.6974384023489,90.9998616102432,90.1374823338954,90.2304505540262,89.6906868269787,92.8927185965566,84.8156452458269,54.9111480995304,51.2102122593133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9951453093602,98.9301373645831,98.1898032690933,94.4000742694462,66.7117545275456,61.4143512999701,46.682410642059,45.5128016958508,44.3951360117798,34.6145954488269,76.4206084777028,79.8640837454377,61.1633488269785,53.5747800532425,57.2654618008558,61.2222805375723,60.8703209770889,41.1361276094719,43.0998649047987,46.3513133094542,56.5326266706021,53.7783064487213,38.2834590184222,27.9916936293913,26.8799037722541,61.581636108509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",65.3878704003374,68.271406231134,63.7560838438378,67.0212253402475,67.5888411606173,62.6438487151682,61.9233264914094,60.4311878487132,57.0423275695463,48.1705890214929,42.8724432199836,52.8478338935524,60.9645763161855,63.5214300353696,66.9907719884067,82.062888473465,111.997658470875,97.7013625110867,83.9595053198445,91.1234539971475,79.7879014103736,49.0769497328284,51.5532202967002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.0651961205758,40.1467210463244,48.0789633124667,75.2579466733508,78.3712937272182,81.78658921057,75.3191984490703,113.44015830495,145.813301075116,85.1355489607027,162.0527499699,86.1497921977005,41.0693766836038,47.2778576106523,128.27047429032,165.193725153366,119.86920361452,43.197800971075,43.7140198960501,47.331349477454,44.4627680580797,56.6118438133046,42.2250917366918,35.3817170286267,29.6640429005127,71.079481624538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",66.6829080954172,65.3157636054606,63.857086491775,70.7457634752767,58.0425592199233,51.0521274919119,57.1327584055023,61.3564909772637,63.0910199793361,48.033967565479,49.5251117460265,56.5722208460304,64.6845905567484,68.6204918447717,62.9518810224228,72.926113572427,82.8200507402549,75.482929264186,92.5233597664709,98.0510064254004,62.0389685382039,50.6158353059096,48.7910886883439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1454202410066,76.2360042631909,93.0103238141327,80.3288607766554,50.5215206771205,96.712122417051,83.1712828659752,91.5030728401258,64.9304891861278,29.3943575369654,35.8958480494754,44.43730099615,45.9255544861531,45.9850540045337,51.5062954264814,140.447203500823,112.850216368583,153.746326820246,56.4337700370119,41.214173167369,72.9075697024521,64.4572448285638,63.5221474561496,45.2492635852085,34.2545560555897,26.5461632859845,31.2002432903743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",69.2448636487127,70.7600601752422,64.7004048005103,58.8512943218691,53.5029392639516,54.6614208564933,52.5811836952535,61.0690716091027,49.9778568765556,52.3595125650365,45.6982936072076,52.6365779253961,79.5956951368191,66.629329556038,65.3949680547233,70.1861110558724,70.8641593530857,84.2551698781753,94.3784244969765,77.4350904961927,50.9151352556105,49.3312360813677,49.0520095225051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2117740049543,29.0400841970261,38.3843092468412,58.8135589806816,38.6838440393466,53.0536095628032,NA,NA,21.7557758075149,NA,28.7704117738676,126.991692935149,35.078265725813,42.7152933400249,52.0236019276426,153.299860717232,161.122282943628,132.683587617444,64.0910320204221,41.1656740495045,41.2406125837288,75.2663205799649,58.4030573742609,41.2890237256742,35.326145199631,33.5654803350916,26.5515688457622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8603628927108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",74.4521864063619,75.5307661540729,71.319116079605,65.6365843029205,64.7941595947437,60.692097971246,62.5979582251907,60.8025852028869,49.0224297907132,41.110318449866,44.5765451579927,44.7658918452269,66.3014062591824,68.1641884901885,66.5262953541299,70.2439697670523,76.3555129533106,85.3665394131416,80.5853663064256,57.8672777595852,48.1499917685862,49.1229932124161,68.8268201000225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.579657502696,NA,NA,NA,NA,70.7698834521089,NA,NA,NA,NA,NA,141.078038776886,34.9347329872129,40.5711059629785,41.4222627026533,45.6212333130977,53.2626506046096,81.1917004373942,136.464995645005,58.3752069169839,38.5305043702558,39.4493291046256,82.8809128130129,60.460439991665,47.9192696172633,47.1626339232654,44.0126500832372,33.2096346122844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3875647400427,36.8411787341879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",71.6571818628492,67.6114965724194,59.7550270205872,69.8417355202367,56.4395852434986,57.3291855152852,55.7745819399893,58.6695554721518,55.4800173452915,63.1458171150826,57.1982419111369,53.291912143381,38.7849021053648,57.5085668337278,69.4219775303209,69.3831046963935,75.1632139624414,76.1663296112115,56.4290347565572,51.445939931113,46.696371762761,49.2114881740093,65.0400314640753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.490416758656,72.0758758387061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4977386902843,42.6874514166069,44.2927166110195,43.0704988004581,44.8454981812512,53.2937461217272,62.0884161262568,88.4607131943269,44.8626965334245,37.2114901147188,41.5462903407729,90.9145917951988,69.3744365488512,51.6372421480935,54.0511561231705,52.9074030357057,39.0017463569249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7182104072585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",73.1357714431363,69.3332450519643,70.6184871409426,68.344908736736,60.1601567910278,65.2061873544677,62.8325984541028,61.2436562180074,63.97960572875,61.8844369729682,71.9023201068974,53.1660218418804,40.1941504865787,48.1953177780141,62.9928358188073,70.7572180747685,72.9046170881554,74.1296004425902,53.4630768365565,48.8446770428288,44.2400824542627,48.2512599269402,53.9840114481166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.0457701801085,NA,93.1111873223887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.3937962945192,32.7346894252522,44.033977174304,44.805084011032,45.942647433779,49.1277864341169,65.4703552890674,60.0111271595133,50.152622675577,41.1728716348818,41.854448273796,95.092107209391,80.3743098175463,55.5750530836867,62.975423175185,54.1674519831565,39.0180188638714,84.2447568709307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9710810780727,30.7448557721887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",49.5969826273544,54.5108415836107,62.0683041400787,58.0899289098813,63.6370049923396,53.6695640876264,60.1909159903742,58.8504297042925,57.8948265444187,39.9148647231786,59.5945525319725,50.219984046454,40.2280445899244,38.6409045097437,50.3068516234782,69.9365551742027,73.964266116745,73.7799976796707,57.1555489923751,46.9671645488367,40.0588473865637,44.6639312400893,46.7578501023553,90.8868478178929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.875708683915,32.9047709111307,102.046235555311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1449838671286,NA,33.6327923716004,32.7604171168299,42.4548269224446,47.1668316850737,50.7573954241985,55.8110849891765,52.8975274180551,47.7475906689593,37.5042657908319,85.0279180936293,75.0720621325162,58.8914092251936,54.9898346958301,54.1285407871846,49.9603557648171,27.0927518099652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.0138397704169,58.8441569381531,16.7396711997017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",69.1129646951877,62.2250571390008,66.2775607625926,60.4562201951808,52.9941024938295,57.399428325965,65.672441240185,64.6002141963448,58.9104586824604,56.0410993129488,54.3294785232243,60.1899273471785,40.1266898207041,40.7261904943353,40.5813275657173,62.2865014683297,62.2394351518335,71.5750345802178,50.9781108404337,50.8462902853809,41.0433358258022,42.6474677409596,45.1377401802657,84.9721222932543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.07100787723,113.38629179568,162.555686981126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.237061896752,39.6255960985137,52.6145107785711,56.2746726048638,53.850858107247,60.5825605306265,54.4155304497886,41.673575657413,37.9609531295841,69.3362583802525,53.9655054125008,52.2896751739906,52.8242232375833,49.4489932283827,42.9672100992069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.0592194471339,16.2838492364809,58.3972508812836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",69.5107935935171,64.1783219969344,70.8425722244705,64.4755335038076,70.2772155610247,57.3920670058073,60.2797913005298,63.1007839791384,57.9831989655496,53.0946933512503,69.4788569200345,58.8511549794671,36.5538064169762,41.8466312854968,39.805983684094,41.1825379972939,45.2157789028158,51.0275288569056,54.4883489500539,48.3859129986905,42.4947289078974,42.6097532143277,46.0840447281157,132.342792501729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8611123680567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.0318374452386,55.9529367164569,118.137108123758,54.0347575593175,54.7466884778696,49.6999924929731,55.9614283117431,43.9832047714468,34.6236801176407,73.0899364961521,56.3810305560975,52.3823174002909,50.814249563244,49.7480865824759,42.6763009689462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.418567038016,72.8683978518124,20.9985859006118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",72.6783014978794,72.2630004424315,72.8970205661852,72.348113608745,64.4233371325346,70.3539821631291,61.6525109580852,63.986310257125,63.5329511617623,54.4645067090852,65.2809613094504,68.1627564177119,58.8003962536171,42.6950730675646,40.5342898555428,40.5553953048056,42.4865103879051,43.1365449217303,46.9351677790446,43.1358839137011,44.6057159946236,45.8005876248397,48.7762793714864,65.9290843803838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.986146368294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1261890312592,54.7914504033697,165.473492340482,92.9720229666836,52.6126101927383,148.723743466447,105.650647232949,49.1766986942754,41.4211844821228,36.2187572000148,84.0856284813757,63.0008419450514,53.0769930334975,45.1833096585988,48.4347841784911,47.4914334555834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3748784435589,32.7546580540329,56.1789866012429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",72.0994420459232,66.9004378523657,70.138969421358,70.2311251716522,75.3520750379415,69.3186921314341,64.7422087239211,63.4671118548137,64.1548657797493,52.7892884944809,46.4839811442252,68.9493405602427,45.1388912802259,40.0030459896364,45.5395953149243,42.1100140158068,45.5107509862336,37.1223010666269,47.9425887352812,46.1774388691457,45.5270437881875,49.7986252486528,54.6143183239019,86.6999196994947,NA,NA,39.9261720214718,73.2602602787622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.620908634631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9630528592662,127.151704968796,87.2836298402772,115.502810231511,164.834252325547,70.8071079627021,162.760365674077,45.7813856156871,38.4967392852396,36.9420675891096,86.1663255014087,61.0519029310158,67.7755375555497,41.0979844368142,46.2279157831912,32.4076146004233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9696394689406,24.2612344472635,36.3164838873113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",69.487601080709,79.45321669102,68.4686180553903,68.1887711787543,78.012416210431,67.6287291734423,66.914855442143,65.8598361413567,65.6829457109135,62.6621117916991,53.6677409472838,70.1979163564487,62.4084939700103,38.9645463161824,45.5499267729336,43.5219889512185,50.4971791865204,44.7226690501494,34.5153317803999,39.7322929929139,125.303139657516,70.6297107242314,88.1795801096491,107.229462082023,NA,NA,39.6790774305679,56.2338147959504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.66642884179,79.3896811774153,164.105955327327,45.1946513543451,42.4403062798151,45.2595039138654,148.484746124817,49.4457828128512,39.0691574850793,35.98154778214,98.8847669943576,67.2523483451291,60.8074863359775,43.3190644856674,43.6585370136073,34.1010623766013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4047395381369,27.9323924972118,31.9022955068091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",70.7681683127651,70.0969379149629,78.4804165364347,71.5934163708628,76.0074988812297,66.2705187147415,70.7038341236056,65.7240100523322,65.7574722824347,62.8022678798386,44.1591819969115,67.3800718550305,54.0175669975172,42.9944963876565,36.070396619937,36.2004902571801,37.591335568196,50.2287528355461,47.7844752123377,36.7505976339978,40.5552455239932,50.5731089916368,47.7649336268765,147.725669007464,NA,NA,30.3901598900197,26.787415435307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4371051349869,34.4674903451773,47.1939018324822,70.6676172157856,49.8001159072652,117.823709582165,154.454723355439,NA,74.3130139642499,36.9761543855245,159.663985625404,43.9000800987115,36.7334591130534,95.1626180884416,86.9362630546724,70.6749848562273,56.5967219137979,51.9219397976292,39.6497274103016,26.6314434324261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.431044052199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1592725226924,25.2715182938804,31.7334173634569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",63.3405541668778,67.3702535616982,67.7479173159082,73.8485235158331,76.683435127941,64.9066425745186,70.9662885070061,67.6906268665977,68.058703137613,63.1849948614888,64.1555489509318,47.796105978164,49.30230183994,56.527358693765,53.8928354816507,39.1343687647243,36.2443218952636,42.8777847619251,57.0629307421794,98.6448469428559,36.7371647881904,49.8086248150884,43.268129572645,108.622601431688,NA,NA,31.846143099704,41.8926323450597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7838691581337,63.7523574685975,102.103659033189,123.846755302998,129.674317515316,84.3913584057263,NA,61.7363356574784,111.434226040497,44.6625985330276,39.0681047862506,99.8463964520784,87.7221781455612,72.8889116243676,53.120539513569,54.6358420713305,39.9837438286275,23.1638354837344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8256688497766,34.2939354746761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7619944666898,28.1661200821735,37.1146758457282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
